Unnamed: 0,رمز النشاط,اسم النشاط,المجال العام للأنشطة,company,اسم النشاط
,241025,صناعة حديد الزهر بما في ذلك مسبوكات حديد الصلب والزهر (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,شركة تشكيل المعادن,صناعة حديد الزهر ما في ذلك مسبوكات حديد الصلب والزهر 
,241040,صناعة صفائح وألواح ولفائف شريطية وقضبان وأسياخ وزوايا وأسلاك ومقاطع بكافة أشكالها (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,شركة تشكيل المعادن,صناعة صفائح وألواح ولفائف شريطية وقضبان وأسـياخ وزوايا وأسلاك ومقاطع بكافة أشكالها
,310010,صناعة الأثاث والموبليا من الخشب (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث والموبيليا من الخشب
,310021,صناعة الأثاث المعدني للمنازل والمكاتب والمطاعم والفنادق (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث المعدني للمنازل والمكاتب والمطاعم والفنادق
,310022,صناعة الأثاث من الألمنيوم لمختلف الأغراض والاستخدامات (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث من الألمنيوم لمختلف الأغراض والاستخدامات  
,310031,صناعة الأثاث من الخيزران والقصب والقش لجميع الاستخدامات (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث من الخيزران والقصب والقش لجميع الاستخدامات 
,310033,صناعة الأثاث من الجلود لجميع الاستخدامات (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث من الجلود لجميع الاستخدامات 
,310041,تنجيد الأثاث,الصناعات التحويلية,الخشبية,تنجيد الأثاث
,310042,تفصيل الحشايا (المراتب) بمختلف أنواعها,الصناعات التحويلية,الخشبية,تفصيل الحشايا (المراتب) بمختلف أنواعها 
,310050,صناعة وتفصيل المجالس العربية (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة وتفصيل المجالس العربية 
,310060,صناعة التركيبات للمحلات والمطاعم يشمل تركيب ديكورات وما شابهها (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة التركيبات للمحلات والمطاعم 
,310070,صناعة المطابخ من الخشب والألمنيوم وغيرها (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة المطابخ من الخشب والألمنيوم  الخ 
